################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3666634808582959E-01 a         1     0     1     1     1
 -2.3497300206846838E-01 a         2     0     1     1     2
  4.0586522749074838E-01 a         3     0     1     1     3
 -5.2227480217513300E-01 a         4     0     1     1     4
 -2.0841629480259943E-01 a         5     0     1     1     5
  5.1750361906527959E-02 a         6     0     1     1     6
  3.3631475183055476E-01 a         7     0     1     1     7
  1.5855538308333039E-01 a         8     0     1     1     8
  2.1592233836727856E-01 a         9     0     1     1     9
  4.3506593380559296E-02 a        10     0     1     1    10
 -9.3082148819828750E-02 a        11     0     1     1    11
 -3.2458283135374338E-01 a        12     0     1     1    12
  1.1296249717007513E-01 a        13     0     1     1    13
 -6.2609732791052997E-01 a        14     0     1     1    14
 -2.6462273780025086E-01 a        15     0     1     1    15
  6.2861672101828414E-02 a        16     0     1     1    16
  4.2337839892904644E-01 a        17     0     1     1    17
  5.6006565996284641E-01 a        18     0     1     1    18
 -2.2094002451601794E-01 a        19     0     1     1    19
  2.9007524204604485E-01 a        20     0     1     1    20
 -2.5000476761836682E-01 a        21     0     2     1     1
 -1.2535019374118603E-01 a        22     0     2     1     2
 -2.1205669241149974E-01 a        23     0     2     1     3
 -3.2694977703348949E-02 a        24     0     2     1     4
  1.1803055297930497E-01 a        25     0     2     1     5
  5.8373314141307468E-02 a        26     0     2     1     6
 -1.8150949274615462E-02 a        27     0     2     1     7
 -2.5187540755179444E-01 a        28     0     2     1     8
 -1.4401210086427144E-01 a        29     0     2     1     9
 -1.6675870676947033E-01 a        30     0     2     1    10
 -1.5387874598762907E-01 a        31     0     2     1    11
 -5.0532214938467557E-01 a        32     0     2     1    12
 -1.3407899648047483E-01 a        33     0     2     1    13
 -3.9940336324216108E-01 a        34     0     2     1    14
  2.7391136885204148E-01 a        35     0     2     1    15
  2.7051881055157695E-01 a        36     0     2     1    16
  1.9600278490915707E-01 a        37     0     2     1    17
  4.3487063503355766E-01 a        38     0     2     1    18
  1.6671493807826113E-01 a        39     0     2     1    19
  2.7210417395635300E-01 a        40     0     2     1    20
  1.7309967053048739E-01 a        41     0     3     1     1
  2.4238319886581414E-01 a        42     0     3     1     2
 -4.1861128806796027E-01 a        43     0     3     1     3
  3.3529970850943308E-01 a        44     0     3     1     4
 -4.7693007990289187E-02 a        45     0     3     1     5
 -1.2990286731410680E-01 a        46     0     3     1     6
  1.8427449205316157E-01 a        47     0     3     1     7
  3.9173348723310540E-02 a        48     0     3     1     8
 -1.9728756658739569E-01 a        49     0     3     1     9
 -1.1619130882535708E-01 a        50     0     3     1    10
  4.2644188610628003E-01 a        51     0     3     1    11
  3.6490108650937181E-01 a        52     0     3     1    12
 -2.2373873650361134E-01 a        53     0     3     1    13
  1.7111832075151609E-01 a        54     0     3     1    14
 -4.6919383736441972E-01 a        55     0     3     1    15
  1.0452358879462116E-01 a        56     0     3     1    16
  1.0929861233406162E-01 a        57     0     3     1    17
 -3.0651906713682564E-01 a        58     0     3     1    18
  3.6106044345385439E-03 a        59     0     3     1    19
 -1.4642946531839218E-01 a        60     0     3     1    20
  2.1109745061209906E-01 a        61     0     4     1     1
  4.7357511110326656E-01 a        62     0     4     1     2
 -1.3360395342125922E-01 a        63     0     4     1     3
  2.0602685106478541E-01 a        64     0     4     1     4
 -2.4978044380583717E-01 a        65     0     4     1     5
  4.0371184468237570E-01 a        66     0     4     1     6
  7.3308311931697036E-03 a        67     0     4     1     7
  3.0050477888011046E-01 a        68     0     4     1     8
 -2.2057329798337334E-02 a        69     0     4     1     9
  5.3542599738390673E-01 a        70     0     4     1    10
 -1.3373325213244330E-01 a        71     0     4     1    11
  5.0992171319551416E-01 a        72     0     4     1    12
  4.2521892190144495E-01 a        73     0     4     1    13
  4.2803119067943357E-01 a        74     0     4     1    14
 -1.1010127565576769E-01 a        75     0     4     1    15
 -3.4557704867804862E-01 a        76     0     4     1    16
 -2.1531803905844954E-01 a        77     0     4     1    17
 -5.9960318090695741E-01 a        78     0     4     1    18
 -1.2630651314133068E-01 a        79     0     4     1    19
 -1.1599577382087602E-01 a        80     0     4     1    20
  1.5838192291079517E-01 a        81     0     5     1     1
 -1.1850469557233077E-01 a        82     0     5     1     2
  4.1864164345232041E-01 a        83     0     5     1     3
 -9.2629365556976984E-02 a        84     0     5     1     4
  4.9196328777463094E-01 a        85     0     5     1     5
  1.9596309926342018E-01 a        86     0     5     1     6
 -5.9511997514659210E-01 a        87     0     5     1     7
 -1.3753578704953742E-01 a        88     0     5     1     8
  8.4074188616651020E-03 a        89     0     5     1     9
 -3.4811068289048253E-01 a        90     0     5     1    10
  5.5760655481050803E-01 a        91     0     5     1    11
 -1.9815406365058602E-01 a        92     0     5     1    12
 -3.7737142415671210E-01 a        93     0     5     1    13
  6.4042803832699047E-01 a        94     0     5     1    14
  3.1911825170350994E-01 a        95     0     5     1    15
  3.0885143345829896E-02 a        96     0     5     1    16
 -3.0896429501489625E-01 a        97     0     5     1    17
  5.7564785414786206E-02 a        98     0     5     1    18
  2.6611460881649385E-01 a        99     0     5     1    19
 -2.5351094589079337E-01 a       100     0     5     1    20
 -2.6346213414681791E-01 a       101     0     6     1     1
 -1.4351042323567006E-01 a       102     0     6     1     2
 -2.5253375510672554E-01 a       103     0     6     1     3
 -2.6567496006814523E-01 a       104     0     6     1     4
  2.5760863224780561E-01 a       105     0     6     1     5
 -2.1301874399977236E-01 a       106     0     6     1     6
 -3.1419843930544195E-01 a       107     0     6     1     7
  2.2190090233097648E-01 a       108     0     6     1     8
  4.2360266182044594E-03 a       109     0     6     1     9
 -2.7973098520960199E-01 a       110     0     6     1    10
  3.3577951145271923E-01 a       111     0     6     1    11
  2.3351303887273520E-01 a       112     0     6     1    12
  5.2699740130486550E-01 a       113     0     6     1    13
  9.6854779625052423E-01 a       114     0     6     1    14
  2.9108734223857563E-01 a       115     0     6     1    15
 -2.8272070192708526E-01 a       116     0     6     1    16
 -1.5704417043613572E-01 a       117     0     6     1    17
 -2.4290278038019933E-01 a       118     0     6     1    18
 -2.0126385737939034E-01 a       119     0     6     1    19
 -9.4368605475799450E-01 a       120     0     6     1    20
 -7.1751598654488136E-01 a       121     0     7     1     1
 -5.4676052959786314E-01 a       122     0     7     1     2
 -1.5201188997203141E-01 a       123     0     7     1     3
  6.1724903807325804E-01 a       124     0     7     1     4
 -1.2471381753575353E-01 a       125     0     7     1     5
  4.9960800478446077E-01 a       126     0     7     1     6
 -1.0987999042496191E-01 a       127     0     7     1     7
 -9.5395109772191278E-01 a       128     0     7     1     8
  5.0900106910573428E-01 a       129     0     7     1     9
  1.0593845266517675E-01 a       130     0     7     1    10
  3.9276239605615137E-01 a       131     0     7     1    11
  7.1247441934807337E-02 a       132     0     7     1    12
 -8.1433077365960627E-01 a       133     0     7     1    13
 -3.2506901646353736E-01 a       134     0     7     1    14
  1.5034815531508877E-01 a       135     0     7     1    15
  4.1923060917340899E-01 a       136     0     7     1    16
  9.7880552300040016E-02 a       137     0     7     1    17
  2.3676075197592534E-02 a       138     0     7     1    18
  5.3776013748365370E-01 a       139     0     7     1    19
  7.9717844054343834E-01 a       140     0     7     1    20
  9.7905342020052660E-02 a       141     0     8     1     1
  1.6239096274786266E-01 a       142     0     8     1     2
 -8.4627466200264900E-02 a       143     0     8     1     3
  3.7439539785727505E-01 a       144     0     8     1     4
 -6.7553503341802934E-02 a       145     0     8     1     5
 -1.5750368670225262E-01 a       146     0     8     1     6
  2.4483349587919850E-01 a       147     0     8     1     7
  1.6493916219513538E-01 a       148     0     8     1     8
 -4.0831486847562402E-02 a       149     0     8     1     9
  3.4587433180982996E-01 a       150     0     8     1    10
 -7.5470183972371832E-02 a       151     0     8     1    11
 -5.8723217928840865E-01 a       152     0     8     1    12
  5.8215977233950633E-01 a       153     0     8     1    13
 -2.8782854802440982E-01 a       154     0     8     1    14
  1.1962699294880767E-01 a       155     0     8     1    15
  9.5238945472538375E-02 a       156     0     8     1    16
  3.6425346935901895E-02 a       157     0     8     1    17
  5.2247460981324434E-01 a       158     0     8     1    18
 -5.4637478033797565E-02 a       159     0     8     1    19
 -2.3196372216153424E-01 a       160     0     8     1    20
 -4.3760972896454658E-01 a       161     0     9     1     1
 -1.2676245231945885E-01 a       162     0     9     1     2
 -2.2878342962304121E-01 a       163     0     9     1     3
  4.1692779882209313E-01 a       164     0     9     1     4
  1.4817742797098479E-01 a       165     0     9     1     5
 -5.2152338240904594E-01 a       166     0     9     1     6
 -2.5911649050083357E-01 a       167     0     9     1     7
 -2.6129594566172643E-01 a       168     0     9     1     8
  2.1576033535998060E-01 a       169     0     9     1     9
 -1.5700736632740700E-01 a       170     0     9     1    10
 -2.9072194348325880E-01 a       171     0     9     1    11
 -9.3443001926355879E-02 a       172     0     9     1    12
 -1.3283664102032600E-02 a       173     0     9     1    13
 -7.0749801873937229E-02 a       174     0     9     1    14
  3.8056257294165541E-01 a       175     0     9     1    15
 -6.0608841679056495E-02 a       176     0     9     1    16
 -1.1299737720144767E-01 a       177     0     9     1    17
  4.0856500089273784E-01 a       178     0     9     1    18
 -2.6686027389018019E-01 a       179     0     9     1    19
  5.6681454130418765E-02 a       180     0     9     1    20
  1.8051479724109198E-01 a       181     0    10     1     1
  5.9009305213020974E-02 a       182     0    10     1     2
 -8.4266959669129810E-02 a       183     0    10     1     3
  1.3244592591539325E-01 a       184     0    10     1     4
  1.7250361223705149E-01 a       185     0    10     1     5
 -9.9060492625155414E-02 a       186     0    10     1     6
  2.4154227463905326E-01 a       187     0    10     1     7
 -7.1938570546318370E-01 a       188     0    10     1     8
  3.8764198830239965E-01 a       189     0    10     1     9
  2.2713010574351497E-01 a       190     0    10     1    10
 -1.8783518081066669E-01 a       191     0    10     1    11
  4.4661324637034083E-01 a       192     0    10     1    12
 -1.5909475245790849E-01 a       193     0    10     1    13
  3.0746071735096664E-01 a       194     0    10     1    14
 -3.9446123996977500E-02 a       195     0    10     1    15
 -1.8480148867912888E-01 a       196     0    10     1    16
 -1.7092420902911909E-01 a       197     0    10     1    17
  1.6512620787979077E-01 a       198     0    10     1    18
  2.2332750488319938E-01 a       199     0    10     1    19
  2.1635309072300166E-01 a       200     0    10     1    20
  4.0007702495594882E-01 a       201     0    11     1     1
 -4.3658125256797353E-01 a       202     0    11     1     2
  4.5724346295569268E-01 a       203     0    11     1     3
  2.4819424431090886E-01 a       204     0    11     1     4
 -2.2272342167426382E-01 a       205     0    11     1     5
  4.7302336785759513E-01 a       206     0    11     1     6
 -2.2541597688687451E-01 a       207     0    11     1     7
  2.5128935404141700E-01 a       208     0    11     1     8
  1.2345840249183286E-01 a       209     0    11     1     9
  1.1451438178770630E-01 a       210     0    11     1    10
  1.1318249804462764E-01 a       211     0    11     1    11
 -1.9024639655207359E-01 a       212     0    11     1    12
  7.6306205464108462E-02 a       213     0    11     1    13
  5.4232016742261545E-02 a       214     0    11     1    14
 -2.8110317593745521E-01 a       215     0    11     1    15
  2.4429680194666448E-02 a       216     0    11     1    16
  8.3128531944329065E-02 a       217     0    11     1    17
  6.0523501078532556E-03 a       218     0    11     1    18
  5.9114179099422438E-02 a       219     0    11     1    19
 -7.7170534411727831E-02 a       220     0    11     1    20
  2.1090546469894872E-01 a       221     0    12     1     1
 -2.7988436320632798E-01 a       222     0    12     1     2
  1.3990282140841442E-01 a       223     0    12     1     3
 -1.6993143211103579E-01 a       224     0    12     1     4
  2.9156271404735458E-02 a       225     0    12     1     5
  2.1037756889514156E-01 a       226     0    12     1     6
 -1.4108628799656500E-01 a       227     0    12     1     7
  2.4271836106478342E-01 a       228     0    12     1     8
  1.1280462312602671E-01 a       229     0    12     1     9
 -5.4765459933741857E-02 a       230     0    12     1    10
  3.8239347130106177E-01 a       231     0    12     1    11
 -1.1811620738450761E-01 a       232     0    12     1    12
  2.8118416532243493E-02 a       233     0    12     1    13
 -5.5709587847025022E-01 a       234     0    12     1    14
 -3.2150218978841255E-01 a       235     0    12     1    15
  1.0070270973760252E-01 a       236     0    12     1    16
 -3.6106935887364056E-01 a       237     0    12     1    17
  1.5123935184288087E-01 a       238     0    12     1    18
 -7.7437248544978077E-02 a       239     0    12     1    19
  1.5901934373448104E-01 a       240     0    12     1    20
 -3.1191037055397410E-02 a       241     0    13     1     1
 -3.1761704635665455E-01 a       242     0    13     1     2
  4.4724115469839265E-01 a       243     0    13     1     3
  3.2213228079855999E-01 a       244     0    13     1     4
 -2.7893944284964939E-01 a       245     0    13     1     5
  6.2602594227136388E-01 a       246     0    13     1     6
 -1.5879694733254868E-01 a       247     0    13     1     7
 -1.6118354310609716E-02 a       248     0    13     1     8
  8.4168045932085400E-01 a       249     0    13     1     9
 -1.9463702974674491E-01 a       250     0    13     1    10
 -6.5812855717225838E-01 a       251     0    13     1    11
 -2.5560824795466214E-01 a       252     0    13     1    12
 -3.3055303160021360E-01 a       253     0    13     1    13
 -1.3446801530608973E-01 a       254     0    13     1    14
 -2.1711101199753856E-02 a       255     0    13     1    15
  1.0337409180864084E-01 a       256     0    13     1    16
  1.2972673104933147E-01 a       257     0    13     1    17
  5.0728573839908864E-01 a       258     0    13     1    18
 -2.8126024033943275E-01 a       259     0    13     1    19
  2.0557968969504770E-01 a       260     0    13     1    20
 -1.9664321797944079E-01 a       261     0    14     1     1
 -4.2421026321686678E-01 a       262     0    14     1     2
  1.5630032020981541E-01 a       263     0    14     1     3
 -1.0074585412772728E-01 a       264     0    14     1     4
  9.6430697049856473E-01 a       265     0    14     1     5
 -2.0666256706392860E-01 a       266     0    14     1     6
 -2.0758779744539321E-01 a       267     0    14     1     7
 -4.3190006262207942E-01 a       268     0    14     1     8
 -5.0969718116405893E-01 a       269     0    14     1     9
  3.3496430057583010E-01 a       270     0    14     1    10
  6.0394365964814407E-02 a       271     0    14     1    11
  6.3583330992984310E-01 a       272     0    14     1    12
  3.6688120160024168E-01 a       273     0    14     1    13
 -8.4923962753267069E-03 a       274     0    14     1    14
  2.3826717692185392E-01 a       275     0    14     1    15
 -1.5295724861384413E-01 a       276     0    14     1    16
 -2.8666115238949519E-01 a       277     0    14     1    17
  2.4571135853899828E-01 a       278     0    14     1    18
 -1.0609093599833995E-01 a       279     0    14     1    19
  7.9857409187842066E-02 a       280     0    14     1    20
  3.0921972632271733E-01 a       281     0    15     1     1
  2.2115252167770569E-01 a       282     0    15     1     2
 -1.7148401746964731E-01 a       283     0    15     1     3
 -6.4982819456715513E-01 a       284     0    15     1     4
  2.1808637992020549E-01 a       285     0    15     1     5
 -6.1111166919317750E-01 a       286     0    15     1     6
  4.5921867683261797E-01 a       287     0    15     1     7
  6.1468064916077181E-01 a       288     0    15     1     8
 -1.1767206630683806E-01 a       289     0    15     1     9
 -1.9142018069804922E-01 a       290     0    15     1    10
  2.6695046063082234E-01 a       291     0    15     1    11
  1.3953570941325244E-01 a       292     0    15     1    12
 -1.3927068779088925E-01 a       293     0    15     1    13
 -1.5085636707597125E-01 a       294     0    15     1    14
 -1.1547306626419282E-01 a       295     0    15     1    15
 -1.0179046774109081E-01 a       296     0    15     1    16
 -4.9551684730774997E-01 a       297     0    15     1    17
 -4.6461163190055353E-02 a       298     0    15     1    18
 -3.5246831861398592E-01 a       299     0    15     1    19
 -3.0300489633593186E-01 a       300     0    15     1    20
 -5.0974500947152213E-01 a       301     0    16     1     1
 -1.1549636911116770E+00 a       302     0    16     1     2
  6.5851725095779323E-01 a       303     0    16     1     3
 -1.3894623599019856E-01 a       304     0    16     1     4
 -2.1186102572041405E+00 a       305     0    16     1     5
 -3.4288341990109883E-01 a       306     0    16     1     6
  4.1262540245957267E-03 a       307     0    16     1     7
 -2.7400659566907815E-01 a       308     0    16     1     8
  6.5818528675587318E-01 a       309     0    16     1     9
  3.2951644923166279E-01 a       310     0    16     1    10
 -1.9004063319572298E-01 a       311     0    16     1    11
 -1.6783038413118653E-01 a       312     0    16     1    12
 -5.0716731933710357E-01 a       313     0    16     1    13
 -1.1525809716400099E-02 a       314     0    16     1    14
 -1.9048823275518562E-01 a       315     0    16     1    15
 -1.3863858129701517E-01 a       316     0    16     1    16
  1.3408359454427274E-01 a       317     0    16     1    17
 -3.4600513730578186E-01 a       318     0    16     1    18
 -5.5674176533033770E-01 a       319     0    16     1    19
  2.4205714026773764E-01 a       320     0    16     1    20
  3.1164217598769828E-01 a       321     0    17     1     1
  1.5478417754339175E+00 a       322     0    17     1     2
  2.1967762683450576E-01 a       323     0    17     1     3
