################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   2.1930613812212996E-01   1.2336936135900564E-01   1.2127527805789505E-02
         1          2   3.8033584803114522E-02   2.1224418816139687E-01   1.1943537438809308E-01   1.1873862605682727E-02
         1          3   3.3335454613013259E-02   1.9736063998659156E-01   1.1117521991088182E-01   1.1399916289959965E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.9924382592982974E-02   1.0851895653240084E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2607472591725419E-02   3.8487235514799521E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2884967353129437E-02   9.6729880145724322E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2407699714138766E-03   1.0945423249409392E-03
         1          8   1.8855197103169671E-06   1.5735841661898180E-03   1.5418911859543927E-04   6.8489933631140322E-05
         1          9   5.0565546830039484E-02   7.7695692159318974E-01   2.1151619398950267E-01   7.5274300351005824E-02
         1         10   4.4046602699219208E-02   7.1014348800192406E-01   1.8898981468653503E-01   6.7131581900065754E-02
         1         11   3.2536652806271521E-02   5.8413963149153847E-01   1.4818754647998053E-01   5.2421651196012199E-02
         1         12   2.0496640856004257E-02   4.4027634325282988E-01   1.0459756498500625E-01   3.6854073742056466E-02
         1         13   6.4553885491769086E-04   8.4096529024456065E-02   7.2012294096731305E-03   3.0394194738755601E-03
         1         14   5.1362886002070231E-03   2.3476434973999735E-01   4.0327839970554002E-02   1.4782098024109331E-02
         1         15   7.2247397233213938E-06   2.3186233277804717E-02   3.6424088415352009E-04   3.5580776722202422E-04
         1         16   2.8655329382224037E-01   5.0074126520971731E+00   2.4271528327528515E+00   7.1649233982449534E-01
         1         17   3.5699082862581144E-01   2.5826422906818967E+00   1.4186529643949148E+00   3.6022603002151543E-01
         1         18   2.4253583906212917E-01   3.9907804765478092E+00   1.8081484987400582E+00   5.3809729663696082E-01
         1         19   3.3542904629093495E-01   2.0814450049066862E+00   1.1074547389043623E+00   2.7132048048869140E-01
         1         20   1.8503709795923420E-01   2.6088859004940410E+00   1.0448802810281241E+00   3.1909310677933106E-01
         1         21   2.8986050983056133E-01   1.4144999825871669E+00   7.2301123210553531E-01   1.6179184551444881E-01
         1         22   1.2998738560021622E-01   1.5736154136171778E+00   5.4816501516591598E-01   1.7348591621415954E-01
         1         23   2.2987495627694027E-01   9.2842249146680289E-01   4.7081944908478884E-01   8.9471106058971794E-02
         1         24   3.7582706215799405E-03   1.1938996442820581E-01   2.1669326974358319E-02   7.5451359229220145E-03
         1         25   2.6264315854344893E-02   1.1570146356026451E-01   6.7519807040671231E-02   6.9663494138656294E-03
         1         26   3.0755163107595053E-02   5.3495364499334142E-01   1.3864978736395595E-01   4.6384402595413231E-02
         1         27   1.2019388793373817E-01   4.2729565445914225E-01   2.3988517421882047E-01   2.9205959136250896E-02
         1         28   4.3577975936225564E-05   3.0730263743930054E-02   9.1081745393109819E-04   5.9381274452019895E-04
         1         29   2.0117247747006399E-03   3.2072765374445762E-02   1.1711146031553691E-02   1.9985618379554015E-03
         1         30   1.3853473119628652E-05   2.8637243729033790E-03   4.1408244589076813E-04   1.4609779982792303E-04
         1         31   1.0595545270776195E-04   1.1752092314440290E-02   1.2437717926096839E-03   5.6091915674984282E-04
         1         32   1.3652191108265146E-03   3.2292004001994175E-02   9.3826651782245498E-03   2.3254366912241389E-03
         1         33   5.0696469656585602E-06   8.0661612684419428E-03   2.1647975983893678E-04   2.3632844928328663E-04
         1         34   1.1463939088148362E-03   2.8278131902061319E-02   8.3553731454538080E-03   2.0199678980573291E-03
         1         35   9.7670114351111549E-04   2.5590514054224613E-02   7.4733379243144210E-03   1.7980265400291940E-03
         1         36   8.3561557071593301E-04   7.0082782595385307E-02   8.0168617715883003E-03   4.9217418761310994E-03
         1         37   1.0035648900871698E-02   1.7526640998746262E-01   4.1486575054594341E-02   1.4831356344075123E-02
         1         38   4.6412519767216797E-05   3.2446277706601252E-02   2.9251989731523880E-03   2.4921479532892012E-03
         1         39   9.0910310194114666E-03   1.3767735811331575E-01   3.6394912256158402E-02   1.2440685828384042E-02
         1         40   8.2635017547645837E-03   1.1557142736480561E-01   3.2471533208240623E-02   1.0896099839515280E-02
         1         41   1.5707630961373252E-08   6.9580557591091857E-02   1.9736920244079238E-02   9.9346007512121724E-03
         1         42   5.7485161297593679E-05   1.2752014929208036E-01   3.4382109255392541E-02   2.1135873185582941E-02
         1         43   3.7937000503536127E-06   1.1330109000198399E-01   2.1449885935215803E-02   1.2575181830672962E-02
         1         44   2.4960312085019903E-02   6.2110241222780194E-01   1.8560837515520062E-01   7.7439634200090701E-02
         1         45   2.2980773998953247E-03   1.8457185294409159E-01   2.6660825189098503E-02   1.6087856010083838E-02
         1         46   2.0814361457387773E-07   5.6978178191963630E-02   9.2048656458698884E-03   5.9894104316659787E-03
         1         47   2.1091694334257140E-02   4.3250134600507034E-01   1.0573108432603746E-01   4.3607396731738760E-02
         1         48   9.3734209417262405E-06   5.4259452048348839E-02   8.1789616202333666E-03   6.3111449902073877E-03
         1         49   6.2320049302128013E-04   4.6522536191261551E-02   5.2510159186525112E-03   2.9143602610425339E-03
         1         50   7.2538639133419291E-03   1.1812865261451011E-01   2.9880534088806046E-02   9.3619989191473952E-03
         1         51   1.3499790328101144E-04   1.2201623514265006E-02   2.5349003981584785E-03   7.0142031637695547E-04
         2          1   1.2284202960593785E-01   5.1897812439170210E-01   2.4673872271801139E-01   2.1328773141179237E-02
         2          2   1.1694269096832627E-01   5.0487456517732265E-01   2.3887074877618616E-01   2.0844760642838227E-02
         2          3   1.0421957098171983E-01   4.7493403589192534E-01   2.2235043982176367E-01   1.9884909984944500E-02
         2          4   8.7486911632546349E-02   4.3342093354951761E-01   1.9984876518596575E-01   1.8668914952125568E-02
         2          5   1.3288891719686535E-02   1.0827579813002298E-01   4.5214945183450837E-02   5.9924379219468867E-03
         2          6   5.2620501103548240E-02   3.2995105949343828E-01   1.4576993470625879E-01   1.5844874471680166E-02
         2          7   1.2742980643962543E-03   2.3834146998643543E-02   8.4815399428277566E-03   1.6131523804917116E-03
         2          8   1.3221066372720804E-05   1.7364260971422520E-03   3.0837823719087864E-04   9.8262540871032412E-05
         2          9   7.1532528297088072E-01   5.3022823567636044E+00   2.8373059287898310E+00   6.9713572868916684E-01
         2         10   5.6301628567420506E-02   2.1998886433660521E+00   1.0698528484616201E+00   3.4790532103777572E-01
         2         11   6.5703695712707699E-01   4.2869733246176134E+00   2.2149094778087233E+00   5.2051311675593470E-01
         2         12   3.1024606077905824E-02   1.7064821375317325E+00   7.6136581340973963E-01   2.5955663922710187E-01
         2         13   4.4765630136437978E-01   1.9456943394577997E+00   9.7836509215060918E-01   1.8625247814352067E-01
         2         14   8.7055091560538141E-03   1.0440501968255209E+00   3.8597728261022224E-01   1.4841058569221019E-01
         2         15   3.0884064139997757E-04   2.1523744441106518E-01   5.2794751516080596E-02   2.7094348011408885E-02
         2         16   4.9061923640751376E-01   1.8725217964315122E+00   9.4163889816957758E-01   1.6022287418771941E-01
         2         17   1.4113901292375161E-03   5.4855913146590218E-01   1.5611642985755789E-01   7.2342608943056122E-02
         2         18   2.4062864443096343E-04   3.0196426215488142E-01   6.7688210523455764E-02   3.7413584446140707E-02
         2         19   2.9447110988814784E-01   8.4799968311499918E-01   4.7977034843764099E-01   4.7825285041470468E-02
         2         20   7.3405892499748078E-06   9.7277144460631029E-02   1.4119512235537833E-02   1.0586546159488118E-02
         2         21   1.2486698793083736E-01   5.2359074915416448E-01   2.5055586018955872E-01   2.2252524180361753E-02
         2         22   2.2576302923937870E-02   2.1227911133638896E-01   8.6384773323939471E-02   1.2572190611251205E-02
         2         23   1.0284076227428031E-03   3.7633337655180218E-02   6.4219596748372699E-03   1.5261892198164171E-03
         2         24   4.6178872747377445E-04   2.4545108235682990E-02   4.2044772959969577E-03   1.5405610905529507E-03
         2         25   6.1496635542869949E-04   2.4703611871048813E-02   4.0228654871126363E-03   1.0172633400594969E-03
         2         26   8.4939312852695391E-05   1.6339784596462067E-02   1.8053831082723241E-03   9.6604601095191410E-04
